description,category
AWS Payment,Services
Safeway Inc,Groceries
Dunkin,Dining
Starbucks Inc,Dining
Dunkin,Dining
Google Cloud Payment,Services
Adobe,Services
Dunkin Store #101,Dining
McDonalds Payment,Dining
Gas Mobile,Transport
Netflix Store #101,Services
Target,Groceries
Panda Express Inc,Dining
Adobe Store #101,Services
Hulu Payment,Services
Panda Express Payment,Dining
Burger King Store #101,Dining
Chevron Mobile,Transport
McDonalds Inc,Dining
Dunkin Mobile,Dining
Google Cloud Inc,Services
Trader Joes Store #101,Groceries
Chipotle Payment,Dining
Adobe,Services
Chipotle Store #101,Dining
McDonalds Payment,Dining
AWS Payment,Services
Hulu,Services
Panda Express Purchase,Dining
Lyft,Transport
iCloud Store #101,Services
Dunkin Mobile,Dining
Safeway Inc,Groceries
Shell,Transport
Safeway Mobile,Groceries
McDonalds Mobile,Dining
iCloud,Services
Chevron Purchase,Transport
Trader Joes Store #101,Groceries
Exxon Payment,Transport
Dunkin Store #101,Dining
Uber Inc,Transport
McDonalds Inc,Dining
Whole Foods,Groceries
Uber Purchase,Transport
Whole Foods Inc,Groceries
Lyft Purchase,Transport
Kroger Payment,Groceries
Whole Foods Purchase,Groceries
Adobe Store #101,Services
Tesla Supercharger Purchase,Transport
Dunkin Payment,Dining
Subway Payment,Dining
Burger King Store #101,Dining
Lyft Store #101,Transport
Exxon Inc,Transport
Shell Purchase,Transport
Costco,Groceries
Chevron Store #101,Transport
Safeway Inc,Groceries
Lyft Payment,Transport
Exxon Store #101,Transport
iCloud Mobile,Services
Netflix Mobile,Services
Gas Store #101,Transport
Burger King Store #101,Dining
Subway Mobile,Dining
Shell Store #101,Transport
Costco Store #101,Groceries
Tesla Supercharger Mobile,Transport
Lyft Payment,Transport
Google Cloud Purchase,Services
Tesla Supercharger Purchase,Transport
Google Cloud Payment,Services
Burger King Store #101,Dining
Burger King Store #101,Dining
Panda Express Store #101,Dining
Adobe,Services
Gas Payment,Transport
Exxon Purchase,Transport
Starbucks Mobile,Dining
Subway Payment,Dining
Tesla Supercharger Purchase,Transport
Subway Inc,Dining
Dunkin Mobile,Dining
AWS,Services
Starbucks Payment,Dining
Exxon Store #101,Transport
Kroger Store #101,Groceries
Whole Foods Inc,Groceries
Panda Express Inc,Dining
Panda Express Purchase,Dining
Chevron Inc,Transport
Dunkin,Dining
Netflix Purchase,Services
Tesla Supercharger Payment,Transport
Safeway Mobile,Groceries
Costco Mobile,Groceries
Trader Joes Payment,Groceries
AWS Inc,Services
Tesla Supercharger Mobile,Transport
Adobe Payment,Services
Uber Mobile,Transport
Gas Purchase,Transport
Google Cloud,Services
AWS Mobile,Services
Gas Mobile,Transport
iCloud Inc,Services
Lyft,Transport
Spotify Purchase,Services
Lyft Mobile,Transport
Panda Express Purchase,Dining
Uber Purchase,Transport
Whole Foods Payment,Groceries
Tesla Supercharger Payment,Transport
Trader Joes Purchase,Groceries
Starbucks Purchase,Dining
Dunkin Mobile,Dining
Kroger Store #101,Groceries
Kroger Store #101,Groceries
Burger King Purchase,Dining
Uber Mobile,Transport
Gas Payment,Transport
Trader Joes Inc,Groceries
Kroger Purchase,Groceries
Adobe Mobile,Services
Panda Express Purchase,Dining
Hulu Mobile,Services
Whole Foods Payment,Groceries
Kroger Inc,Groceries
Subway Inc,Dining
Dunkin Purchase,Dining
McDonalds,Dining
Lyft Mobile,Transport
Whole Foods Purchase,Groceries
Lyft Inc,Transport
AWS,Services
Netflix Store #101,Services
Adobe Inc,Services
Whole Foods Payment,Groceries
Gas Store #101,Transport
Shell Mobile,Transport
Exxon Mobile,Transport
iCloud Inc,Services
Target,Groceries
Dunkin Purchase,Dining
Google Cloud Mobile,Services
McDonalds Payment,Dining
Lyft Payment,Transport
Netflix Inc,Services
Google Cloud Store #101,Services
Hulu Purchase,Services
Dunkin Mobile,Dining
Gas Purchase,Transport
Hulu Inc,Services
Google Cloud Inc,Services
Dunkin,Dining
Safeway Payment,Groceries
Spotify,Services
Chevron Inc,Transport
Spotify Purchase,Services
Chevron Inc,Transport
Dunkin Purchase,Dining
Whole Foods Purchase,Groceries
Netflix Purchase,Services
Target Mobile,Groceries
Target Inc,Groceries
Netflix Store #101,Services
Tesla Supercharger Payment,Transport
Google Cloud Purchase,Services
AWS Payment,Services
Netflix Purchase,Services
Spotify Inc,Services
Chipotle Mobile,Dining
Burger King Inc,Dining
Chipotle Store #101,Dining
Netflix Payment,Services
Costco Payment,Groceries
Walmart Inc,Groceries
Shell,Transport
Gas Store #101,Transport
Tesla Supercharger Store #101,Transport
McDonalds Mobile,Dining
Tesla Supercharger Payment,Transport
Burger King,Dining
Trader Joes,Groceries
Dunkin Inc,Dining
Gas,Transport
Google Cloud Inc,Services
Google Cloud Purchase,Services
Chevron Mobile,Transport
Starbucks Store #101,Dining
Spotify,Services
iCloud Inc,Services
Netflix,Services
Lyft Store #101,Transport
Trader Joes Payment,Groceries
Exxon Purchase,Transport
Google Cloud Payment,Services
Netflix Store #101,Services
Starbucks Purchase,Dining
Chevron,Transport
Tesla Supercharger,Transport
Spotify Purchase,Services
Panda Express Store #101,Dining
Gas Mobile,Transport
Burger King Mobile,Dining
AWS Payment,Services
Chipotle Store #101,Dining
Starbucks,Dining
Walmart Purchase,Groceries
Starbucks Inc,Dining
Lyft Store #101,Transport
iCloud Inc,Services
Walmart Payment,Groceries
Chipotle Payment,Dining
Netflix Inc,Services
Target Inc,Groceries
Trader Joes Mobile,Groceries
Tesla Supercharger Payment,Transport
Netflix Inc,Services
Spotify Purchase,Services
Dunkin,Dining
Trader Joes Purchase,Groceries
Hulu Purchase,Services
Whole Foods Store #101,Groceries
AWS Payment,Services
McDonalds Mobile,Dining
Walmart,Groceries
Burger King Purchase,Dining
Burger King,Dining
Panda Express Payment,Dining
McDonalds Inc,Dining
Costco Inc,Groceries
Uber Purchase,Transport
Shell Mobile,Transport
Kroger Payment,Groceries
Exxon Mobile,Transport
Chipotle Mobile,Dining
Netflix,Services
Panda Express Mobile,Dining
Starbucks Mobile,Dining
Chipotle Payment,Dining
Safeway Payment,Groceries
Kroger Payment,Groceries
Chipotle,Dining
Adobe Inc,Services
Adobe,Services
AWS,Services
Chevron Store #101,Transport
Trader Joes Store #101,Groceries
Lyft Inc,Transport
Chevron Payment,Transport
Dunkin Purchase,Dining
Safeway,Groceries
Starbucks,Dining
Spotify Purchase,Services
Uber Mobile,Transport
iCloud,Services
Google Cloud,Services
Netflix Purchase,Services
Costco Mobile,Groceries
Lyft Purchase,Transport
McDonalds Payment,Dining
Netflix Payment,Services
Dunkin Store #101,Dining
Hulu Inc,Services
Google Cloud Store #101,Services
Burger King Store #101,Dining
Hulu Payment,Services
AWS Mobile,Services
Dunkin Mobile,Dining
Panda Express Store #101,Dining
Tesla Supercharger,Transport
Spotify Payment,Services
Google Cloud Purchase,Services
Shell,Transport
Google Cloud,Services
AWS Purchase,Services
Whole Foods Inc,Groceries
Walmart,Groceries
Costco Inc,Groceries
Costco Purchase,Groceries
Tesla Supercharger Payment,Transport
Costco Inc,Groceries
Hulu Purchase,Services
Adobe Store #101,Services
Walmart Payment,Groceries
Costco Purchase,Groceries
Chipotle Inc,Dining
Netflix Payment,Services
Tesla Supercharger,Transport
Hulu Mobile,Services
Subway Inc,Dining
Exxon Store #101,Transport
Panda Express Purchase,Dining
Trader Joes Inc,Groceries
Uber Inc,Transport
Subway Payment,Dining
Lyft Inc,Transport
